1	She	PRO	female	2	np	rp(s:dcl, ba(s:dcl, *
2	likes	ENS	like	0	(s:dcl\np)/np	fa(s:dcl\np, *
3	short	IST	short	4	n/n	lx(np, n, fa(n, *
4	skirts	CON	skirt	2	n	* ))))
5	.	NIL	.	2	.	* ))
						
1	He	PRO	male	2	np	ba(s:dcl, *
2	drove	EPS	drive	0	(s:dcl\np)/np	ba(s:dcl\np, fa(s:dcl\np, *
3	his	HAS	male	2	np/n	fa(np, *
4	car	CON	car	3	n	* ))
5	to	REL	to	2	((s\np)\(s\np))/np	fa((s\np)\(s\np), *
6	Yokohama	GPE	yokohama	5	n	rp(np, lx(np, n, * )
7	.	NIL	.	2	.	* )))))
						
1	I	PRO	speaker	2	np	rp(s:dcl, ba(s:dcl, *
2	am	NOW	be	0	(s:dcl\np)/(s:adj\np)	fa(s:dcl\np, *
3	tired	IST	tired	2	s:adj\np	* ))
4	.	NIL	.	2	.	* ))
						
1	How	QUE	how	0	(s:wq/(s:q/(s:adj\np)))/(s:adj\np)	fa(s:wq, fa(s:wq/(s:q/(s:adj\np)), *
2	old	DEG	old	1	s:adj\np	* )
3	is	NOW	be	1	(s:q/(s:adj\np))/np	fa(s:q/(s:adj\np), *
4	Brian~Eno	PER	brian~eno	3	n	rp(np, lx(np, n, * )
5	?	QUE	?	1	.	* ))))
						
1	Who	QUE	person	0	s:wq/(s:dcl\np)	fa(s:wq, *
2	is	ENS	be	3	(s:dcl\np)/np	ba(s:dcl\np, *
3	the	DEF	the	1	np/n	rp((s:X\np)\((s:X\np)/np), lx((s:X\np)\((s:X\np)/np), np, fa(np, *
4	president	ROL	president	3	n/pp	fa(n, *
5	of	REL	of	4	pp/np	fa(pp, *
6	the	DEF	the	5	np/n	fa(np, *
7	United~States	GPE	united~states	6	n	* )))))
8	?	QUE	?	1	.	* ))))
						
1	You	PRO	hearer	2	np	ba(s:dcl, *
2	're	NOW	be	0	(s:dcl\np)/(s:adj\np)	fa(s:dcl\np, *
3	confused	IST	confused	2	s:adj\np	rp(s:adj\np, *
4	.	NIL	.	2	.	* ))))
						
1	Every	AND	every	3	np/n	ba(s:dcl, fa(np, *
2	man	CON	man	1	n	* )
3	can	POS	can	0	(s:dcl\np)/(s:b\np)	fa(s:dcl\np, bxc((s:dcl\np)/(s:b\np), *
4	not	NOT	not	3	(s\np)\(s\np)	* )
5	be	EQU	be	3	(s:b\np)/np	rp(s:b\np, fa(s:b\np, *
6	a	DIS	a	5	np/n	fa(np, *
7	good	IST	good	6	n/(n/pp)	fa(n, *
8	pianist	ROL	pianist	7	n/pp	* )))
9	.	NIL	.	3	.	* ))))
						
1	I	PRO	speaker	2	np	ba(s:dcl, *
2	chopped	EPS	chop~down	0	((s:dcl\np)/pr)/np	fa(s:dcl\np, fa((s:dcl\np)/pr, *
3	a	DIS	a	2	np/n	fa(np, *
4	tree	CON	tree	3	n	* ))
5	down	REL	down	2	pr	rp(pr, *
6	.	NIL	.	2	.	* ))))
						
1	Jim	PER	jim	2	n	ba(s:q, ba(s:dcl, lx(np, n, * )
2	does	NOW	do	6	(s:dcl\np)/(s:b\np)	fa(s:dcl\np, bxc((s:dcl\np)/(s:b\np), *
3	n't	NOT	not	2	(s\np)\(s\np)	* )
4	like	EXS	like	2	(s:b\np)/np	fa(s:b\np, *
5	apples	CON	apple	4	n	lx(np, n, * ))))
6	,	NIL	,	0	(s:q\s:dcl)/(s:q/(s:b\np))	fa(s:q\s:dcl, *
7	does	NOW	do	6	(s:q/(s:b\np))/np	fa(s:q/(s:b\np), *
8	he	PRO	male	7	np	rp(np, *
9	?	QUE	?	6	.	* )))))
						
1	Mayuko	PER	mayuko	2	n	ba(s:dcl, lx(np, n, * )
2	is	NOW	be	0	(s:dcl\np)/(s:ng\np)	fa(s:dcl\np, *
3	dancing	EXG	dance	2	(s:ng\np)/pp	fa(s:ng\np, *
4	to	REL	to	3	pp/np	rp(pp, fa(pp, *
5	the	DEF	the	4	np/n	fa(np, *
6	music	CON	music	5	n	* ))
7	.	NIL	.	2	.	* )))))
						
1	The	DEF	the	5	np/n	ba(s:dcl, fa(np, *
2	city	CON	city	1	n	ba(n, *
3	of	REL	of	2	(n\n)/n	fa(n\n, *
4	Rome	GPE	rome	3	n	* )))
5	is	NOW	be	0	(s:dcl\np)/(s:adj\np)	fa(s:dcl\np, *
6	famous	IST	famous	5	s:adj\np	rp(s:adj\np, *
7	.	NIL	.	5	.	* ))))
						
1	The	DEF	the	3	np/n	ba(s:dcl, fa(np, *
2	king	ROL	king	1	n	* )
3	had	PST	have	0	(s:dcl\np)/(s:pt\np)	fa(s:dcl\np, bxc((s:dcl\np)/(s:pt\np), *
4	clearly	IST	clearly	3	(s\np)\(s\np)	* )
5	overstepped	EXT	overstep	6	(s:pt\np)/np	ba(s:pt\np, *
6	his	HAS	male	3	np/(n/pp)	rp((s:X\np)\((s:X\np)/np), lx((s:X\np)\((s:X\np)/np), np, fa(np, *
7	constitutional	IST	constitutional	8	n/n	fc(n/pp, *
8	role	CON	role	6	n/pp	* )))
9	.	NIL	.	3	.	* )))))
						
1	Tom	PER	tom	2	n	ba(s:dcl, lx(np, n, * )
2	pulled	EPS	pull~out	0	((s:dcl\np)/np)/pr	fa(s:dcl\np, fa((s:dcl\np)/np, *
3	out	REL	out	2	pr	* )
4	a	DIS	a	2	np/n	rp(np, fa(np, *
5	pen	CON	pen	4	n	* )
6	.	NIL	.	2	.	* ))))
						
1	According	IST	according	9	(s/s)/pp	fa(s:dcl, fa(s/s, *
2	to	REL	to	1	pp/np	fa(pp, *
3	the	DEF	the	2	np/n	fa(np, *
4	newspaper	CON	newspaper	3	n	* )))
5	there	NIL	there	9	np:thr	ba(s:dcl, *
6	was	EPS	be	9	((s:dcl\np:thr)/pp)/np	ba(s:dcl\np, fa((s:dcl\np:thr)/pp, *
7	an	DIS	an	6	np/n	fa(np, *
8	earthquake	CON	earthquake	7	n	* ))
9	in	REL	in	0	pp/np	rp((s:X\np)\((s:X\np)/pp), lx((s:X\np)\((s:X\np)/pp), pp, fa(pp, *
10	Mexico	GPE	mexico	9	n	lx(np, n, * )))
11	.	NIL	.	9	.	* )))))
						
1	The	DEF	the	3	np/n	ba(s:dcl, fa(np, *
2	job	CON	job	1	n	* )
3	earns	ENS	earn	0	((s:dcl\np)/np)/np	ba(s:dcl\np, fa(s:dcl\np, fa((s:dcl\np)/np, *
4	him	PRO	male	3	np	* )
5	half~a~million	QUC	500000	6	n/n	lx(np, n, fa(n, *
6	yen	UOM	yen	3	n	* )))
7	every	AND	every	3	((s\np)\(s\np))/n	rp((s\np)\(s\np), fa((s\np)\(s\np), *
8	month	CON	month	7	n	* )
9	.	NIL	.	3	.	* ))))
						
1	Tom	PER	tom	2	n	rp(s:dcl, ba(s:dcl, lx(np, n, * )
2	sharpened	EPS	sharpen	0	(s:dcl\np)/np	fa(s:dcl\np, *
3	a	DIS	a	2	np/n	fa(np, *
4	pencil	CON	pencil	3	n	* )))
5	.	NIL	.	2	.	* ))
						
1	Tom	PER	tom	2	n	ba(s:dcl, lx(np, n, * )
2	walked	EPS	walk	0	s:dcl\np	ba(s:dcl\np, ba(s:dcl\np, *
3	to	REL	to	2	((s\np)\(s\np))/np	fa((s\np)\(s\np), *
4	the	DEF	the	3	np/n	fa(np, *
5	front~door	CON	front~door	4	n	* )))
6	and	COO	and	7	conj	*
7	knocked	EPS	knock	2	s:dcl\np	rp(s:dcl\np, *
8	.	NIL	.	2	.	* )))))
						
